Date,User,Message
2018-03-01 09:21:59,"Synergy","Synergy joined this chatroom."
2018-03-01 09:22:12,"Synergy","안녕하세요 교수님!!"
2018-03-01 09:37:16,"남재창","반가워요."
2018-03-01 09:38:57,"남재창","첫 학생이네요 여기 들어온 부지런도 하셔라..."
2018-03-01 09:42:02,"Synergy","헤헤 제가 월요일에 수업에 못 가서 빨리 따라잡으려고요~!"
2018-03-01 09:44:17,"남재창","아 수강신청 늦게 해서?"
2018-03-01 09:45:37,"Synergy","네!"
2018-03-01 09:47:57,"남재창","아 늦게 신청한 사람들 좀 있는 것 같은데, 다음 수업에 복습할게요 :)"
2018-03-01 09:48:29,"Synergy","네! 감사합니다 ㅠㅠ"
2018-03-01 10:03:07,"재호17","재호17 joined this chatroom."
2018-03-01 10:10:52,"김대교","김대교 joined this chatroom."
2018-03-01 10:38:55,"java","java joined this chatroom."
2018-03-01 10:39:14,"java","java left this chatroom."
2018-03-01 11:41:44,"이현지","이현지 joined this chatroom."
2018-03-01 12:13:12,"김태현","김태현 joined this chatroom."
2018-03-01 12:14:55,"이승용","이승용 joined this chatroom."
2018-03-01 13:13:50,"최동현","최동현 joined this chatroom."
2018-03-01 13:27:40,"김재윤","김재윤 joined this chatroom."
2018-03-01 14:05:25,"정희석","정희석 joined this chatroom."
2018-03-01 17:51:24,"이준범(zach)","이준범(zach) joined this chatroom."
2018-03-01 19:17:37,"김기범","김기범 joined this chatroom."
2018-03-01 19:40:42,"이수아","이수아 joined this chatroom."
2018-03-02 08:52:44,"유정연","유정연 joined this chatroom."
2018-03-03 00:52:07,"최성현","최성현 joined this chatroom."
2018-03-03 17:28:09,"Java programing","Java programing joined this chatroom."
2018-03-03 17:28:20,"Java programing","Java programing left this chatroom."
2018-03-03 17:28:26,"Java programing","Java programing joined this chatroom."
2018-03-03 20:54:23,"양","안녕하세요 교수님! 
교수님께서 올려주신 pdf에서 
1)Set up the JDE 에 있는 자바 다운로드 링크를 누르니 페이지를 찾을 수 없다고 뜹니다..! 그냥 Java se 9.0.4를 설치하면 되나요??"
2018-03-03 20:58:20,"남재창","네 링크가 잘못결려있는 것 같은데, ppt나온 링크를 복사 후 브라우저에 붙여넣기 하면 될거에요."
2018-03-03 20:58:21,"남재창","http://www.oracle.com/technetwork/java/javase/downloads/index.html"
2018-03-03 21:29:31,"양","앗 그렇군요. 감사합니다!!"
2018-03-03 21:31:17,"남재창","ppt를 pdf로 변환하는 프로그램에 버그가 좀 있는 것 같아요. 설치하는 건 랩시간에 하는 거니까, 파일만 다운로드 받으면 되요. 미리하고 설치하고 싶으면 미리해도 되긴 하고요 :)"
2018-03-03 21:34:40,"미소 :)","미소 :) joined this chatroom."
2018-03-03 23:56:39,"박세은","박세은 joined this chatroom."
2018-03-05 00:00:58,"java","java joined this chatroom."
2018-03-05 08:41:59,"남재창","Good morning everyone! 곧 강의실에서 만나요 :) 9:30. 지각 세번 하면 한번 결석~~~~"
2018-03-05 09:20:57,"한정섭","한정섭 joined this chatroom."
2018-03-05 09:38:47,"21500002","21500002 joined this chatroom."
2018-03-05 09:49:58,"도영","도영 joined this chatroom."
2018-03-05 09:57:58,"java","채팅방에서 말한것"
2018-03-05 09:58:08,"미소 :)","키보드?"
2018-03-05 09:58:16,"김대교","저장??"
2018-03-05 09:58:19,"java","명령어?"
2018-03-05 09:58:19,"정희석","스트링?"
2018-03-05 09:58:34,"김기범","저장한 파일이요"
2018-03-05 09:58:38,"김재윤","저장한파일"
2018-03-05 09:58:40,"미소 :)","파일파일"
2018-03-05 09:58:57,"성빈","정보?"
2018-03-05 09:59:00,"java","메세지"
2018-03-05 09:59:14,"java","파일"
2018-03-05 09:59:21,"이승용","파일"
2018-03-05 09:59:26,"java","csv파일"
2018-03-05 10:00:16,"미소 :)","input: 사람들의 이름과 시간이 적혀있는 csv파일
output: 사람들의 이름과 메세지의 count가 적혀있는 csv파일"
2018-03-05 10:01:17,"송창우(SCW)","송창우(SCW) joined this chatroom."
2018-03-05 10:01:41,"송창우(SCW)","인간이 작성하는 프로그램 언어"
2018-03-05 10:01:51,"이승용","human friendly 랭귀지"
2018-03-05 10:02:14,"미소 :)","0과 1로 이루어진 기계어"
2018-03-05 10:02:48,"이승용","바이너리???"
2018-03-05 10:02:48,"java","CPU 메모리에서 처리할 수 있는 언어"
2018-03-05 10:12:52,"송창우(SCW)","virtual machine"
2018-03-05 10:13:00,"미소 :)","bytecode"
2018-03-05 10:13:01,"java","virtual machine Bytecode"
2018-03-05 10:13:04,"김대교","Bytecode virtual machine"
2018-03-05 10:13:06,"도영","virtual machine bytecode"
2018-03-05 10:13:08,"한정섭","virtual machine bytecode"
2018-03-05 10:13:14,"이현지","Bytecode, virtual machine"
2018-03-05 10:13:21,"이승용","가상기계"
2018-03-05 10:13:30,"한정섭","임베디드 시스템이 들어간 기계?"
2018-03-05 10:13:33,"송창우(SCW)","물리적으로 존재하지 않지만 프로그램 적으로 존재하는 기계?"
2018-03-05 10:13:38,"유정연","에뮬레이터?"
2018-03-05 10:14:47,"한정섭","dev app같은것"
2018-03-05 10:17:01,"java","모니터가 없다는 게 뭐예요?"
2018-03-05 10:17:32,"이승용","맥에서 윈도우쓸 parallels desktop 같은거간요"
2018-03-05 10:17:35,"김기범","소스코드?"
2018-03-05 10:17:37,"도영","기계언어?"
2018-03-05 10:17:40,"송창우(SCW)","8비트 코드?"
2018-03-05 10:17:57,"이승용","1개의 바이트를 담고있는 코드?"
2018-03-05 10:18:15,"김대교","virtual machine을 위한 코드??"
2018-03-05 10:18:50,"java","네"
2018-03-05 10:18:53,"양","화면을 보여주지 않는것 = 모니터가 없다."
2018-03-05 10:19:07,"정희석","기계가 알아들을수 있게 바이트로 처리한 코드?"
2018-03-05 10:19:29,"Java programing","Java programing left this chatroom."
